case_id,slice_order_reversed,sequences_voting
MR-452274_1,True,3
MR106372_2,True,3
MR107494_4,True,3
MR109645_4,True,2
MR11115_6,False,3
MR111778_6,False,0
MR117669_4,True,3
MR119876_4,False,0
MR123583_6,True,3
MR132750_6,False,0
MR135005_1,True,3
MR138758_4,True,3
MR142208_6,True,3
MR142442_4,True,3
MR142584_4,True,2
MR143373_6,True,3
MR144709_6,True,3
MR146023_5,True,3
MR160269_4,True,2
MR163928_1,True,3
MR170227_0,True,3
MR17217_6,False,3
MR173412_0,True,3
MR174869_1,True,2
MR175200_0,True,3
MR178740_5,True,3
MR183194_2,True,3
MR184663_0,True,3
MR189715_6,True,3
MR191390_1,True,2
MR194055_4,False,0
MR194765_3,True,3
MR196089_3,True,2
MR196443_6,True,3
MR199345_1,True,3
MR200272_0,True,3
MR200585_3,True,3
MR203544_0,True,3
MR204402_0,True,3
MR205873_0,True,3
MR208089_3,True,3
MR208549_2,True,3
MR210190_3,True,3
MR210262_0,True,3
MR210683_4,True,3
MR211893_3,False,0
MR212148_2,True,3
MR215333_4,True,3
MR220150_4,True,3
MR221970_3,True,3
MR222125_3,True,3
MR22540_6,True,3
MR229074_5,True,3
MR236955_3,True,3
MR24890_6,True,3
MR25190_6,True,3
MR27202_1,True,3
MR27345_6,False,0
MR27649_6,False,0
MR33614_6,True,2
MR3573_6,False,3
MR39384_5,True,3
MR39576_1,True,3
MR45055_6,True,3
MR46550_1,True,3
MR48341_6,True,2
MR52318_6,True,3
MR54786_5,True,1
MR57573_6,False,0
MR82398_1,True,3
MR88239_5,True,3
MR88293_1,False,2
MR88720_2,True,3
MR89563_6,True,3
MR91519_1,True,3
